"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127"
"1",1.50757621650341,4.98755233254289e-16,0,1.45363156569717e-13,-1.4770607597826e-08,0,0,0,0,0,-5.36110005149068e-09,-2.4393061614682e-18,1.53918699746636e-09,2.08154562553137e-15,1.302373340966e-16,0,0,0,0,0,0,0,8.39978575064175e-11,-4.37487544946691e-13,0,0,2.1561690652248e-17,0,0,0,-7.57979324708417e-12,0,0,-1.90980977514831e-15,2.40850581100234e-12,1.83007533430166e-12,0,-3.46219611376927e-17,0,0,8.15096833938742e-10,4.55060415854312e-27,0,-1.38150560569968e-08,7.71749833904726e-11,-1.18043593633367e-08,-6.7931923553468e-11,0,0,-4.26912569703243e-17,-6.29117207328937e-09,0,3.26408920059768e-12,0,0,8.21597573688601e-14,0,0.305581907354466,9.76984315853234e-13,-1.19062221498661e-15,0,0,0,0,-5.98395241152834e-16,0,0,0,0,3.81398315568768e-20,4.35705132037369e-10,0,0,-2.24121504252015e-17,0,-9.99327266114572e-09,3.95817147360467e-12,7.6508863494025e-15,0,0,0,-3.43769303732495e-18,0,0,0,-9.44972870482779e-13,1.67171433026177e-14,-3.32014031618801e-17,2.78115340205066e-10,-8.62969937702044e-09,0,2.04359825565978e-14,1.83578358094768e-11,4.80280559058274e-12,0,0,3.35732654868035e-15,0,3.47133070681687e-11,0,0,0,-1.62414226386829e-09,0,0,0,0,1.44965305286936e-11,0,6.68544237400029e-15,0,0,0,-7.92497090831606e-18,0,-8.26262217797563e-09,6.0982043152283e-12,0,0,1.6922607365216e-18,0,8.05987448651295e-29,1.30017745135965e-11,3.20450204239425e-22,1.09281561473482e-13,1.35528425385696e-11,-4.10865836359201e-10
"2",4.98755233254289e-16,1.50757621650341,0,-3.17821938416757e-16,-2.03930897319713e-10,0,0,0,0,0,-7.40845761470283e-11,-2.94985773893817e-19,-1.88195542843331e-13,-4.55109039471094e-18,0.393665458112071,0,0,0,0,0,0,0,-5.73923610781794e-13,-6.4047056758646e-15,0,0,6.57499863258239e-19,0,0,0,-2.24896109825813e-13,0,0,-2.27979578663301e-16,4.5057647628524e-17,-4.24842327342936e-14,0,-1.30570162222603e-17,0,0,-9.73728685358819e-14,1.04696320560461e-27,0,-1.91163410879484e-10,-7.82211942811601e-15,-1.63320587959828e-10,-9.3877762952201e-13,0,0,-5.09861213113599e-18,-8.70090078105493e-11,0,-1.76800894371852e-13,0,0,-1.95173007053847e-16,0,1.01096431352811e-16,1.79461445074313e-17,-1.42131615706641e-16,0,0,0,0,-7.14330758412204e-17,0,0,0,0,-1.18246121926945e-23,-6.13961600792119e-14,0,0,-8.45232772185754e-18,0,-1.38175913610424e-10,-2.36612649273932e-13,-1.78780509533819e-17,0,0,0,-4.10988888022576e-19,0,0,0,-1.31118350734372e-14,-3.41248133938883e-17,-1.25212911678101e-17,-5.38362448406059e-14,-1.19249358006545e-10,0,-5.17518446866373e-17,-5.43376982823084e-13,-8.82057356367239e-14,0,0,-8.50205472765659e-18,0,-6.88474696859538e-13,0,0,0,-2.24297619787169e-11,0,0,0,0,-3.03416295066165e-13,0,-1.53971681360514e-17,0,0,0,-2.98875528820079e-18,0,-1.14236258531479e-10,-1.57254656264465e-13,0,0,5.16036159133112e-20,0,1.85434543088714e-29,-2.24840234225098e-13,-9.93501868656714e-26,2.03505851222681e-18,-1.86898943135187e-13,-5.68401579484694e-12
"3",0,0,1.50757621650341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1.45363156569717e-13,-3.17821938416757e-16,0,1.50757621650341,5.00366551263077e-10,0,0,0,0,0,1.8201804513284e-10,5.44960446027248e-19,7.68249875542507e-09,0.021587923327138,-8.29911732589451e-17,0,0,0,0,0,0,0,5.78464846630991e-10,2.13330977674755e-14,0,0,-1.41291279892822e-18,0,0,0,3.36752244097716e-11,0,0,4.20949796954803e-16,4.17148174939889e-14,2.64588428158607e-11,0,8.73669197666942e-17,0,0,3.74732698732324e-09,-2.0320875185995e-27,0,4.69260274910186e-10,3.24349619668588e-10,4.00792400846853e-10,2.30698141399246e-12,0,0,9.41444748780206e-18,2.13587965790707e-10,0,7.28426259682368e-11,0,0,0.0969253197572642,0,2.94647462313156e-14,1.70682493478663e-14,2.62437259048067e-16,0,0,0,0,1.31896699339177e-16,0,0,0,0,1.0499986734897e-16,2.04428414168895e-09,0,0,5.6556147022801e-17,0,3.39025262655128e-10,9.46269132801981e-11,0.00800674653256042,0,0,0,7.5891195927949e-19,0,0,0,3.30457792855044e-14,0.000540226575591311,8.37823439346805e-17,1.35069589624056e-09,2.92622997919478e-10,0,0.00857291701222978,2.70272711930518e-10,5.51351149731722e-11,0,0,0.00140840215561352,0,3.8831038118103e-10,0,0,0,5.50349953141674e-11,0,0,0,0,1.67059033813802e-10,0,0.00622430319550431,0,0,0,1.99983310161181e-17,0,2.8034852534953e-10,8.04686765949025e-11,0,0,-1.10891900469121e-19,0,-3.59916392964514e-29,1.35477117565208e-10,8.82207067089767e-19,1.89688865971524e-15,1.24821141407565e-10,1.39525583164921e-11
"5",-1.4770607597826e-08,-2.03930897319713e-10,0,5.00366551263077e-10,1.50757621650341,0,0,0,0,0,0.0829717701668186,1.03825077929366e-12,2.96323041606853e-06,7.16506046320168e-12,-5.32514039673358e-11,0,0,0,0,0,0,0,1.04524784569038e-05,2.14541483451228e-06,0,0,-2.17237193804215e-11,0,0,0,0.000132202652728506,0,0,8.13048675028737e-10,-2.45702850369746e-09,7.6508131901891e-07,0,1.5540097988915e-11,0,0,1.44811642710042e-06,-1.90480785812688e-21,0,0.419915095895962,1.06092483528578e-07,0.384061999599638,0.0010509416213775,0,0,1.81744830624606e-11,0.154807738134296,0,3.23889055796955e-06,0,0,3.01379898812093e-10,0,-2.99396501027105e-09,-9.80935260770195e-10,5.06874265599734e-10,0,0,0,0,2.54750168295498e-10,0,0,0,0,1.74130080375347e-16,9.39411301259974e-07,0,0,1.0059715127496e-11,0,0.391101830746714,1.70178979393599e-05,2.7761607878659e-11,0,0,0,1.46346731401888e-12,0,0,0,1.39379910739213e-05,5.56097283704623e-11,1.49024809960921e-11,8.84853103014601e-07,0.472401112086303,0,7.84074312263753e-11,1.04601609780805e-05,1.59440225909891e-06,0,0,1.28811692680346e-11,0,1.26109292957261e-05,0,0,0,0.126452995165194,0,0,0,0,5.73294332216074e-06,0,2.40285099384032e-11,0,0,0,3.5571306409758e-12,0,0.412237795984237,4.4145174501831e-06,0,0,-1.70497749696951e-12,0,-3.37373054709759e-23,4.11263230865104e-06,1.46303791974788e-18,-1.11038801076083e-10,3.41746964748297e-06,0.0115721213027164
"6",0,0,0,0,0,1.50757621650341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,1.50757621650341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,1.50757621650341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,1.50757621650341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,1.50757621650341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
